Rk,PFF Name,PFF Name Cleaned,Data Bowl Name,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
132,Ronald Darby,Ronald Darby,#N/A,DEN,27,RCB,11,11,0,0,0,0,0.55,,,,,0,0,4.82,3.82,1,0.09,0,
133,Kendall Fuller,Kendall Fuller,#N/A,WAS,26,LCB,16,16,0.06,0,0,0,1,,,,,0,0.06,4.81,4,0.81,0.13,0.06,
134,Jalen Ramsey*+,Jalen Ramsey,#N/A,LAR,27,RCB,16,16,0.25,2.56,0,25,1,0.06,0,1,8,0,0,4.81,3.88,0.94,0.56,0.06,
135,Jimmie Ward,Jimmie Ward,#N/A,SFO,30,FS,16,16,0.13,1.69,0.06,27,0.38,,,,,0,0,4.81,3.19,1.63,0.06,0,
136,Michael Carter,Michael Carter,#N/A,NYJ,22,DB,15,7,0,0,0,0,0.33,0,0,2,2,0,0.07,4.8,3,1.8,0.27,0.13,
137,Sean Murphy-Bunting,Sean Murphy-Bunting,#N/A,TAM,24,RCB,9,8,0,0,0,0,0.33,0.11,0,0,0,0,0,4.78,3.33,1.44,0.11,0,
138,Adoree' Jackson,Adoree' Jackson,#N/A,NYG,26,RCB,13,12,0.08,0.77,0,10,0.62,,,,,0,0,4.77,3.62,1.15,0.08,0,
139,Ashtyn Davis,Ashtyn Davis,#N/A,NYJ,25,SS/FS,13,10,0.15,1.38,0,18,0.23,0.23,0,0,0,0,0.04,4.77,3.31,1.46,0,0.08,
140,Leonard Williams,Leonard Williams,#N/A,NYG,27,NT,17,17,0,0,0,0,0.12,0.12,0,1,0,0,0.38,4.76,2,2.76,0.29,0.82,
141,Tyrann Mathieu*,Tyrann Mathieu,#N/A,KAN,29,SS,16,16,0.19,3.5,0.06,34,0.38,0,0,3,12,0,0.06,4.75,3.75,1,0.13,0.13,
142,Taron Johnson,Taron Johnson,#N/A,BUF,25,RLB,16,15,0.06,0.25,0,4,0.44,0.06,0,0,0,0,0.19,4.75,3.31,1.44,0.25,0.19,
143,Rasul Douglas,Rasul Douglas,#N/A,GNB,27,RCB,12,9,0.42,8.75,0.17,55,1.08,0.08,0,0,0,0,0,4.75,4.33,0.42,0.08,0,
144,Jamin Davis,Jamin Davis,Jamin Davis,WAS,23,MLB,16,8,0,0,0,0,0.06,,,,,0,0.06,4.75,3,1.75,0.19,0.13,
